start_date	fips	start_deaths	end_date	end_deaths	deaths	preventable_est
2021-04-15	12055	332.0	2022-09-25	746.0	414	274
2021-04-15	12057	1648.0	2022-09-25	4136.0	2488	1645
2021-04-15	12059	48.0	2022-09-25	102.0	54	36
2021-04-15	12061	287.0	2022-09-25	716.0	429	284
2021-04-15	12063	156.0	2022-09-25	288.0	132	87
2021-04-15	12065	27.0	2022-09-25	66.0	39	26
2021-04-15	12067	26.0	2022-09-25	62.0	36	24
2021-04-15	12069	615.0	2022-09-25	1658.0	1043	690
2021-04-15	12071	940.0	2022-09-25	2377.0	1437	950
2021-04-15	12073	308.0	2022-09-25	733.0	425	281
2021-04-15	12075	47.0	2022-09-25	177.0	130	86
2021-04-15	12077	16.0	2022-09-25	31.0	15	10
2021-04-15	12079	44.0	2022-09-25	102.0	58	38
2021-04-15	12081	646.0	2022-09-25	1593.0	947	626
2021-04-15	12083	942.0	2022-09-25	2308.0	1366	903
2021-04-15	12085	314.0	2022-09-25	698.0	384	254
2021-04-15	12086	6014.0	2022-09-25	11724.0	5710	3775
2021-04-15	12087	50.0	2022-09-25	131.0	81	54
2021-04-15	12089	123.0	2022-09-25	320.0	197	130
2021-04-15	12091	357.0	2022-09-25	731.0	374	247
2021-04-15	12093	87.0	2022-09-25	190.0	103	68
2021-04-15	12095	1220.0	2022-09-25	3088.0	1868	1235
2021-04-15	12097	490.0	2022-09-25	1216.0	726	480
2021-04-15	12099	2708.0	2022-09-25	5607.0	2899	1917
2021-04-15	12101	716.0	2022-09-25	2118.0	1402	927
2021-04-15	12103	1576.0	2022-09-25	3745.0	2169	1434
2021-04-15	12105	1276.0	2022-09-25	3231.0	1955	1292
2021-04-15	12107	137.0	2022-09-25	446.0	309	204
2021-04-15	12109	206.0	2022-09-25	633.0	427	282
2021-04-15	12111	609.0	2022-09-25	1331.0	722	477
2021-04-15	12113	282.0	2022-09-25	666.0	384	254
2021-04-15	12115	804.0	2022-09-25	1849.0	1045	691
2021-04-15	12117	476.0	2022-09-25	1206.0	730	483
2021-04-15	12119	266.0	2022-09-25	645.0	379	251
2021-04-15	12121	137.0	2022-09-25	338.0	201	133
2021-04-15	12123	45.0	2022-09-25	108.0	63	42
2021-04-15	12125	71.0	2022-09-25	121.0	50	33
2021-04-15	12127	757.0	2022-09-25	2176.0	1419	938
2021-04-15	12129	54.0	2022-09-25	136.0	82	54
2021-04-15	12131	85.0	2022-09-25	223.0	138	91
2021-04-15	12133	51.0	2022-09-25	117.0	66	44
2021-04-15	13001	70.0	2022-09-25	135.0	65	43
2021-04-15	13003	19.0	2022-09-25	54.0	35	23
2021-04-15	13005	36.0	2022-09-25	80.0	44	29
2021-04-15	13007	9.0	2022-09-25	15.0	6	4
2021-04-15	13009	125.0	2022-09-25	253.0	128	85
2021-04-15	13011	34.0	2022-09-25	99.0	65	43
2021-04-15	13013	129.0	2022-09-25	269.0	140	93
2021-04-15	13015	220.0	2022-09-25	462.0	242	160
2021-04-15	13017	78.0	2022-09-25	122.0	44	29
2021-04-15	13019	42.0	2022-09-25	88.0	46	30
2021-04-15	13021	432.0	2022-09-25	810.0	378	250
2021-04-15	13023	51.0	2022-09-25	105.0	54	36
2021-04-15	13025	37.0	2022-09-25	114.0	77	51
2021-04-15	13027	47.0	2022-09-25	93.0	46	30
2021-04-15	13029	37.0	2022-09-25	101.0	64	42
2021-04-15	13031	111.0	2022-09-25	273.0	162	107
2021-04-15	13033	59.0	2022-09-25	115.0	56	37
2021-04-15	13035	79.0	2022-09-25	166.0	87	58
2021-04-15	13037	15.0	2022-09-25	24.0	9	6
2021-04-15	13039	32.0	2022-09-25	131.0	99	65
2021-04-15	13043	65.0	2022-09-25	105.0	40	26
2021-04-15	13045	233.0	2022-09-25	478.0	245	162
2021-04-15	13047	67.0	2022-09-25	191.0	124	82
2021-04-15	13049	32.0	2022-09-25	64.0	32	21
2021-04-15	13051	427.0	2022-09-25	956.0	529	350
2021-04-15	13053	15.0	2022-09-25	22.0	7	5
2021-04-15	13055	68.0	2022-09-25	143.0	75	50
2021-04-15	13057	309.0	2022-09-25	663.0	354	234
2021-04-15	13059	140.0	2022-09-25	247.0	107	71
2021-04-15	13061	3.0	2022-09-25	6.0	3	2
2021-04-15	13063	449.0	2022-09-25	1033.0	584	386
2021-04-15	13065	26.0	2022-09-25	43.0	17	11
2021-04-15	13067	1014.0	2022-09-25	1956.0	942	623
2021-04-15	13069	167.0	2022-09-25	294.0	127	84
2021-04-15	13071	114.0	2022-09-25	265.0	151	100
2021-04-15	13073	197.0	2022-09-25	409.0	212	140
2021-04-15	13075	41.0	2022-09-25	78.0	37	24
2021-04-15	13077	210.0	2022-09-25	511.0	301	199
2021-04-15	13079	19.0	2022-09-25	62.0	43	28
2021-04-15	13081	77.0	2022-09-25	138.0	61	40
2021-04-15	13083	12.0	2022-09-25	35.0	23	15
2021-04-15	13085	42.0	2022-09-25	105.0	63	42
2021-04-15	13087	67.0	2022-09-25	136.0	69	46
2021-04-15	13089	964.0	2022-09-25	1847.0	883	584
2021-04-15	13091	101.0	2022-09-25	162.0	61	40
2021-04-15	13093	44.0	2022-09-25	73.0	29	19
2021-04-15	13095	295.0	2022-09-25	525.0	230	152
2021-04-15	13097	209.0	2022-09-25	433.0	224	148
2021-04-15	13099	48.0	2022-09-25	65.0	17	11
2021-04-15	13101	9.0	2022-09-25	12.0	3	2
2021-04-15	13103	67.0	2022-09-25	207.0	140	93
2021-04-15	13105	71.0	2022-09-25	116.0	45	30
2021-04-15	13107	81.0	2022-09-25	164.0	83	55
2021-04-15	13109	29.0	2022-09-25	67.0	38	25
2021-04-15	13111	67.0	2022-09-25	175.0	108	71
2021-04-15	13113	166.0	2022-09-25	359.0	193	128
2021-04-15	13115	215.0	2022-09-25	539.0	324	214
2021-04-15	13117	180.0	2022-09-25	431.0	251	166
2021-04-15	13119	49.0	2022-09-25	106.0	57	38
2021-04-15	13121	1331.0	2022-09-25	2510.0	1179	779
2021-04-15	13123	82.0	2022-09-25	186.0	104	69
2021-04-15	13125	19.0	2022-09-25	26.0	7	5
2021-04-15	13127	170.0	2022-09-25	420.0	250	165
2021-04-15	13129	111.0	2022-09-25	282.0	171	113
2021-04-15	13131	59.0	2022-09-25	112.0	53	35
2021-04-15	13133	62.0	2022-09-25	88.0	26	17
2021-04-15	13135	1108.0	2022-09-25	1996.0	888	587
2021-04-15	13137	156.0	2022-09-25	276.0	120	79
2021-04-15	13139	450.0	2022-09-25	883.0	433	286
2021-04-15	13141	63.0	2022-09-25	90.0	27	18
2021-04-15	13143	79.0	2022-09-25	182.0	103	68
2021-04-15	13145	57.0	2022-09-25	118.0	61	40
2021-04-15	13147	52.0	2022-09-25	107.0	55	36
2021-04-15	13149	19.0	2022-09-25	58.0	39	26
2021-04-15	13151	313.0	2022-09-25	723.0	410	271
2021-04-15	13153	247.0	2022-09-25	522.0	275	182
2021-04-15	13155	28.0	2022-09-25	53.0	25	17
2021-04-15	13157	148.0	2022-09-25	302.0	154	102
2021-04-15	13159	38.0	2022-09-25	79.0	41	27
2021-04-15	13161	45.0	2022-09-25	75.0	30	20
2021-04-15	13163	64.0	2022-09-25	116.0	52	34
2021-04-15	13165	42.0	2022-09-25	67.0	25	17
2021-04-15	13167	49.0	2022-09-25	80.0	31	20
2021-04-15	13169	57.0	2022-09-25	118.0	61	40
2021-04-15	13171	55.0	2022-09-25	124.0	69	46
